is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text
IS 269:2013,"Ordinary Portland Cement, 33 Grade",Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,05,01,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InBkZ2E4VWJyd0pqTE5iTjI0bTlHNVE9PSIsInZhbHVlIjoiT0dSOGZwRWlpUk00Y0tXVEZ0bXJWdz09IiwibWFjIjoiNTlkMGI1MDM2YmEyYWYxYzk4ZmE4NmZhNjEwNDY5NmQ5NmVjNTRjYTM0MmE5YTYzMDFjNTRlNjFhZmVlNDQ4ZSIsInRhZyI6IiJ9&standardNumber=IS%20269:2013,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Cement,Mandatory Certification,"ordinary portland cement, 33 grade. building materials including paints. cement, concrete and allied products. cement and its testing. cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs"
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,06,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImoxNmVzR3VmNm1iWkFkbFJkbk4rMmc9PSIsInZhbHVlIjoiRXFaNy9JODd5bDdsQkxLOWVVcG94UT09IiwibWFjIjoiZTAxMzEwZjI2M2M2Njg2YjhkMDQxZjRmY2FlMzk3MzI1NjBjOGFhMDY0YTM3ZTJhNjk4ZDE2YjI3YjRiNGIxZiIsInRhZyI6IiJ9&standardNumber=IS%20269:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Cement,Mandatory Certification,"ordinary portland cement - specification (sixth revision). building materials including paints. cement, concrete and allied products. cement and its testing. cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs"
IS 432 (Part 1):1982,Specification for Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement: Part 1 Mild Steel and Medium Tensile Steel Bars (Third revision),2020.0,Current,Civil Engineering Department(CED),CED 54 - Concrete Reinforcement,03,02,Product Specification,"Jan, 2020",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkpZNjRVSjErazh6K200d2hiVnIzT3c9PSIsInZhbHVlIjoiYUZEdndRSklzUGNyaUVobWNLRnJTdz09IiwibWFjIjoiZDM4NzcwZjkxOTExNjE1MDA2YTkyNTA0ZjExNzczMGE5ZjJlOTA0MTU2YTgzNDdiZTg0YjFiNDFlOTc1OGY2YiIsInRhZyI6IiJ9&standardNumber=IS%20432%20(Part%201):1982,cement,Not Available,"Metals, Alloys and Metal Products (including Steel Products)",Steel Products for Concrete Reinforcement,Steel Reinforcement for Reinforced and Prestressed Concrete Constructions,Unknown,Mild steel and medium tensile steel bars,Unknown,"specification for mild steel and medium tensile steel bars and hard-drawn steel wire for concrete reinforcement: part 1 mild steel and medium tensile steel bars (third revision). metals, alloys and metal products (including steel products). steel products for concrete reinforcement. steel reinforcement for reinforced and prestressed concrete constructions. mild steel and medium tensile steel bars. civil engineering department(ced). ced 54 - concrete reinforcement. product specification"
IS 432 (Part 1):2026,Specification for Mild Steel And Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement Part 1 Mild Steel and Medium Tensile Steel Bars Fourth Revision,Unknown,Unknown,Civil Engineering Department(CED),CED 54 - Concrete Reinforcement,04,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImNTNUhqZ0FYSG5zRk9VdXJ5a3orQWc9PSIsInZhbHVlIjoiNGMyUEcrQUZhRnVCQVU1WEt1UW8vUT09IiwibWFjIjoiMzBjNjU1NTViZDk5MjBhYzZhMzZhNDdjMzc2ZTMyMWI2NTk2YmMwOTBiMmMzMWFhZTFjMjkwYjVjNDM3NmJjNiIsInRhZyI6IiJ9&standardNumber=IS%20432%20(Part%201):2026,cement,IS 432 (Part 1):1982,Civil Engineering Design and Construction,Concrete structures,Special Structures,Ministry of Steel,Unknown,Mandatory Certification,specification for mild steel and medium tensile steel bars and hard-drawn steel wire for concrete reinforcement part 1 mild steel and medium tensile steel bars fourth revision. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 54 - concrete reinforcement. product specification. ministry of steel
IS 432 (Part 2):1982,Specification for Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement: Part 2 Hard-Drawn Steel Wire (Third Revision),2025.0,Current,Civil Engineering Department(CED),CED 54 - Concrete Reinforcement,03,03,Product Specification,"May, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkJ6bFVuTTk4K2ZUZXBidi81RWlNRWc9PSIsInZhbHVlIjoiT0FPOHRraHBRaG9xakdHdWpVQ3VkQT09IiwibWFjIjoiYmE3ZGNlZmRkNTAyMzQ1MGUwZjRmYjllMzUwODk2ZDA3YTBjOTc3NDVmMGRkMzgxYTNjYTViMDhlOTVkMjA4YiIsInRhZyI6IiJ9&standardNumber=IS%20432%20(Part%202):1982,cement,Not Available,"Metals, Alloys and Metal Products (including Steel Products)",Steel Products for Concrete Reinforcement,Steel Reinforcement for Reinforced and Prestressed Concrete Constructions,Unknown,Hard-Drawn Steel Wire,Mandatory Certification,"specification for mild steel and medium tensile steel bars and hard-drawn steel wire for concrete reinforcement: part 2 hard-drawn steel wire (third revision). metals, alloys and metal products (including steel products). steel products for concrete reinforcement. steel reinforcement for reinforced and prestressed concrete constructions. hard-drawn steel wire. civil engineering department(ced). ced 54 - concrete reinforcement. product specification"
IS 445:1964,"Water Hose Of Rubber, High Pressure With Woven Reinforcement",Unknown,Withdrawn,"Petroleum, Coal And Related Products Department(PCD)",PCD 13 - Rubber And Rubber Products,New Standard,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImF0T1JNMGo3VDkzQ0txbnVBb2ZJWWc9PSIsInZhbHVlIjoiS3BFY3RFZlA4dGJYWGgrZjBXM2pBdz09IiwibWFjIjoiMTg4MDQ3MTZkMTMzNzA5NTRkM2I3MTBmYWNhZTRlOTI2M2M1ZDk2MGJlNGY5ZjkyMDEwNDY2ZjAzZjJkNzU2ZiIsInRhZyI6IiJ9&standardNumber=IS%20445:1964,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"water hose of rubber, high pressure with woven reinforcement. petroleum, coal and related products department(pcd). pcd 13 - rubber and rubber products"
IS 455:1989,Portland Slag Cement - Specification,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,06,Product Specification,"Jan, 2009",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlpEWG1GNkd0N0V2cFdaZ3VLZ3RqZUE9PSIsInZhbHVlIjoiRlE4T3RKOHNDdnV2OFhYenpsY0FmQT09IiwibWFjIjoiMmEyYjgxNTM4ZDBjY2Y4NmVlZjE5OWVlNTgxYTE2ODAzZTE4MjcwOTZhNDBkMTBiY2Q5N2U3YjQwNjYyZGE1MyIsInRhZyI6IiJ9&standardNumber=IS%20455:1989,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Portland Slag Cement,Mandatory Certification,"portland slag cement - specification. building materials including paints. cement, concrete and allied products. cement and its testing. portland slag cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs"
IS 455:2015,Portland slag cement - Specification (fifth revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,05,02,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImltVmJXWEg5YmUwdTl6c3JHdkNGWFE9PSIsInZhbHVlIjoiTjlQR3FtSGNNWGFpU1k4dlBDL3lIUT09IiwibWFjIjoiN2ExMmZmYmJiNTcxNzg1NTA2MjYyMWE3ZjJkYmQ4MTU4NzBkMzE3YmNlMmJmYWJiNjRjNGJiNTQ3Y2Y2NDc4NCIsInRhZyI6IiJ9&standardNumber=IS%20455:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Portland Slag Cement,Mandatory Certification,"portland slag cement - specification (fifth revision). building materials including paints. cement, concrete and allied products. cement and its testing. portland slag cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs"
IS 458:2003,Precast concrete pipes(With And Without Reinforcement) - Specification (Fourth Revision),2024.0,Withdrawn,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,04,01,Product Specification,"Jan, 2018",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Iml3RTNBKzRHR3J1OXRPRFJwSWNPd3c9PSIsInZhbHVlIjoiM0l3ajNDSEU1TTNGRHdoRitlclNrQT09IiwibWFjIjoiODQ0ZDY2YzlkOTFjYWU3NWEwZmU1Y2E5MzFlNTEyMzVhOWFmZWZhZjdiMmM4ODEyN2FiNjU0ZTM1NTMxMzM2MiIsInRhZyI6IiJ9&standardNumber=IS%20458:2003,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete Poles, Pipes and Lined /Coated Steel Pipes",Ministry of Housing and Urban Affairs,Hume Pipe,Voluntary Certification,"precast concrete pipes(with and without reinforcement) - specification (fourth revision). building materials including paints. cement, concrete and allied products. concrete poles, pipes and lined /coated steel pipes. hume pipe. civil engineering department(ced). ced 53 - cement matrix products. product specification. ministry of housing and urban affairs"
IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,2026.0,Current,Civil Engineering Department(CED),CED 53 - Cement Matrix Products,05,01,Product Specification,"Mar, 2026",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete Poles, Pipes and Lined /Coated Steel Pipes",Ministry of Housing and Urban Affairs,Hume Pipe,Voluntary Certification,"precast concrete pipes (with and without reinforcement) -. building materials including paints. cement, concrete and allied products. concrete poles, pipes and lined /coated steel pipes. hume pipe. civil engineering department(ced). ced 53 - cement matrix products. product specification. ministry of housing and urban affairs"
