is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text,semantic_score,faiss_rank,classification_score,status_score,certification_score,semantic_normalized,classification_normalized,hybrid_score,hybrid_rank,final_rank
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,06,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImoxNmVzR3VmNm1iWkFkbFJkbk4rMmc9PSIsInZhbHVlIjoiRXFaNy9JODd5bDdsQkxLOWVVcG94UT09IiwibWFjIjoiZTAxMzEwZjI2M2M2Njg2YjhkMDQxZjRmY2FlMzk3MzI1NjBjOGFhMDY0YTM3ZTJhNjk4ZDE2YjI3YjRiNGIxZiIsInRhZyI6IiJ9&standardNumber=IS%20269:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Housing and Urban Affairs,Cement,Mandatory Certification,"ordinary portland cement - specification (sixth revision). building materials including paints. cement, concrete and allied products. cement and its testing. cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of housing and urban affairs",0.65029716,2,0.5979374,1.0,1.0,0.99486065,1.0,0.9964024066925049,1,1
IS 16993:2018,Microfine Ordinary Portland Cement - Specification,2023.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,01,Product Specification,"Jun, 2023",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imtxd0ZmVFNrR1h3VE9BT2RFcUJYNHc9PSIsInZhbHVlIjoiazVhdmxMZkhPbEpqTzk4ZDR2UUJNZz09IiwibWFjIjoiNWIyZTFiZjhmN2Y1NDhjNTMzMmQxYzRjZmNmYWJkMGFlZDBlZmRmMjg4OGFkOGVkYjdmNmRkZTlkM2Y2MjM0OSIsInRhZyI6IiJ9&standardNumber=IS%2016993:2018,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products","Concrete, Concrete admixrurers & additives and testing","Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"microfine ordinary portland cement - specification. building materials including paints. cement, concrete and allied products. concrete, concrete admixrurers & additives and testing. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.6115428,7,0.553007,1.0,1.0,0.7928082,0.9172666,0.8425557255744934,3,2
IS 8042:2015,White Portland Cement - Specification (Third Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InphK0U0UWowZGxuS0pqMTBWdWJVNmc9PSIsInZhbHVlIjoiQTBHWUdUVmkrR1g2UU42WDNkc2pxZz09IiwibWFjIjoiMTVkNTU4MGExYjVjZmE1MDU5ZjkzNGUxYTgyNjUxNjI2NDRhZGZiM2QzNTJiMzM1MWFhZWY1MTJjYjY1MzA0ZSIsInRhZyI6IiJ9&standardNumber=IS%208042:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),white cement,Mandatory Certification,"white portland cement - specification (third revision). building materials including paints. cement, concrete and allied products. cement and its testing. white cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5807022,9,0.5979374,1.0,1.0,0.63201517,1.0,0.7424106240272522,7,3
IS 455:2015,Portland slag cement - Specification (fifth revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,05,02,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImltVmJXWEg5YmUwdTl6c3JHdkNGWFE9PSIsInZhbHVlIjoiTjlQR3FtSGNNWGFpU1k4dlBDL3lIUT09IiwibWFjIjoiN2ExMmZmYmJiNTcxNzg1NTA2MjYyMWE3ZjJkYmQ4MTU4NzBkMzE3YmNlMmJmYWJiNjRjNGJiNTQ3Y2Y2NDc4NCIsInRhZyI6IiJ9&standardNumber=IS%20455:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Portland Slag Cement,Mandatory Certification,"portland slag cement - specification (fifth revision). building materials including paints. cement, concrete and allied products. cement and its testing. portland slag cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.57343405,14,0.5979374,1.0,1.0,0.5941215,1.0,0.715885066986084,8,4
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,02,03,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Img3NWtWcUxHenRad3hyaXZPUDIrckE9PSIsInZhbHVlIjoiVWRkbTlCZzkxWE1nSzM3UTVMblQwdz09IiwibWFjIjoiMjRiMjAzYjZjYmM2N2JiMzMwYWQyM2Q5MzI1NDU5MmU2MTk4NjA0NmExNzdkMjgxM2ZmOTZjNmZjNmUxNjEyZiIsInRhZyI6IiJ9&standardNumber=IS%208043:1991,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Hydrophobic Portland cement,Unknown,"hydrophobic portland cement - specification (second revision). building materials including paints. cement, concrete and allied products. cement and its testing. hydrophobic portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.5800079,10,0.5979374,1.0,0.5,0.62839544,1.0,0.7148767709732056,9,5
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im5TQW5Dc0s5QW9aV05SbGtCWklGMXc9PSIsInZhbHVlIjoiTEs3cHFOZHl0OE52YXlQWWN6WWJidz09IiwibWFjIjoiOTQzY2YzNGI3N2Y4ODQ1MzM3YmZjOGVmODI0MTRiYjYzYzZiZWY4MjZlYmI0ZjNkYjE0ZTExZDgwZGI4OTE3NyIsInRhZyI6IiJ9&standardNumber=IS%2018189:2023,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry,Limestone Calcined Clay Cement,Voluntary Certification,"portland calcined clay limestone cement - specification. building materials including paints. cement, concrete and allied products. cement and its testing. limestone calcined clay cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry",0.5878944,8,0.5979374,0.5,0.7,0.6695129,1.0,0.7036590194702149,10,6
IS 516 (Part 11):2020,Hardened Concrete - Methods of Test: Part 11 Determination of Portland Cement Content of Hardened Hydraulic Cement Concrete ( First Revision ),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Methods of tests,"Sep, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjhIRlZ4TW1LK2pwRUZvTy9uNy9QS0E9PSIsInZhbHVlIjoiMG5Ka1ZORW9QQVBGU0hHKzNVbnU4Zz09IiwibWFjIjoiMjI0MWNjNjQ1NmE4ZDcyNzI1NzNkYzcwZmM4YTJjZmMyOGFkMGNhNzlhMmEwMDk4ZTYyMDMzMmMwMGU5NTk3ZSIsInRhZyI6IiJ9&standardNumber=IS%20516%20(Part%2011):2020,concrete,Not Available,Civil Engineering Design and Construction,"Construction practices, measurement and management","General Construction, Painting and Glazing",Ministry of Housing and Urban Poverty Alleviation,Cement content of OPC,Unknown,"hardened concrete - methods of test: part 11 determination of portland cement content of hardened hydraulic cement concrete ( first revision ). civil engineering design and construction. construction practices, measurement and management. general construction, painting and glazing. cement content of opc. civil engineering department(ced). ced 02 - cement and concrete. methods of tests. ministry of housing and urban poverty alleviation",0.5753002,12,0.3137132,1.0,0.5,0.6038511,0.47663823,0.6191914975643158,12,7
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,No amendment issued,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjU3M0I4bFFNckYrOG9PSHNEd3JCbGc9PSIsInZhbHVlIjoiZllzQU5ZZGJpODFyT2pBeHVnaFpHQT09IiwibWFjIjoiOWUxZTAxNGIxN2I2MDZmMDYzODk4NDE1MzNhZGM5NGYyZGY4ODViNjVlOWFhZmQ2MzY4NzdlN2IwYzFmMDBkOCIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%202):2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC - Calcined clay based,Mandatory Certification,"portland pozzolana cement - specification: part 2 calcined clay based (fourth revision). building materials including paints. cement, concrete and allied products. cement and its testing. ppc - calcined clay based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5465627,18,0.5979374,1.0,1.0,0.45402288,1.0,0.617816025018692,13,8
IS 12600:1989,"Portland Cement, Low Heat - specification",2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,05,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImVsQk5zZ2dCVjdwUzZDaUcvR25JdkE9PSIsInZhbHVlIjoiU0FwVkJwcjZNNTRaOXljcTRjUDdJQT09IiwibWFjIjoiN2RhMTRiZDgxZjcyZDI3MzUwM2YyZTNlNDAxNTMyYjUzYzE1NGFjYzY4NTM5NjYzNTc0NTVkMDc3NmVhMTBjMSIsInRhZyI6IiJ9&standardNumber=IS%2012600:1989,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Specification for low heat Portland cement,Unknown,"portland cement, low heat - specification. building materials including paints. cement, concrete and allied products. cement and its testing. specification for low heat portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.54249436,19,0.5979374,1.0,0.5,0.432812,1.0,0.577968418598175,14,9
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkVRS0E0TGtSbnc2ZjRtbUYva1k2S1E9PSIsInZhbHVlIjoiTExpcXh5OFBzWVc5QkZJVVhtL2xqZz09IiwibWFjIjoiYTc5Njc2NmU1Njk5ODhjOGQ5OTFkY2Q0MDlhYWY0ZGNlZDVhM2Q2OTE1Y2FiOTg1YzU1ZDkwOWI0YjVjNjgxZSIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%201)%20%20:%202015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC- Fly Ash Based,Mandatory Certification,"portland pozzolana cement - specification: part 1 fly ash based (fourth revision). building materials including paints. cement, concrete and allied products. cement and its testing. ppc- fly ash based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5349231,20,0.5979374,1.0,1.0,0.39333782,1.0,0.5753364801406861,15,10
