recommended_is_number,recommended_title,related_is_number,related_title,related_status,related_source_url,relationship_type,reviewed_in,relationship_direction
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),IS 2911 (Part 3):2021,Design and construction of pile foundations - Code of practice: Part 3 Under-reamed piles (second revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFRVDRNVnVkOVVqbXNpYTlIdktpV1E9PSIsInZhbHVlIjoidWpsSTBDbTZYVHo5UktZTS82OG5vdz09IiwibWFjIjoiMjQwZGM1MDhhY2NlNGQ4ZjQ3YjcwYTU1OGMxZTAwMGY3MWFkY2IzZGE5MTI1ZjQ3MmFiZTRiZDg1ZjFlZDg0MCIsInRhZyI6IiJ9&standardNumber=IS%202911%20(Part%203):2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),IS 457:1957,Code of practice for general construction of plain and reinforced concrete for dams and other massive structures,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Iis1TnQ3QmJMczhqdjVqOGhmU0xLL0E9PSIsInZhbHVlIjoiYWxRd3hjOEVic2hnNVl4aitMd3ZMdz09IiwibWFjIjoiNzViOTY1ZTQwZWFiNGUwODQyODNlMWU1MTcxYTM3ZWU2Y2MyMmQxYjE5OTE5MjEwMjM4NWE1Njg0M2U0ZmJhZSIsInRhZyI6IiJ9&standardNumber=IS%20457:1957,REFERRED_IN_STANDARD,2026.0,outgoing
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),IS 458:2021,Precast Concrete Pipes (with and without Reinforcement) -,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjZnVkU3MFROWEdHbmpoN0N5M0lMbGc9PSIsInZhbHVlIjoiVS9TczNxRGRhbjVMYlByWldHTmZQZz09IiwibWFjIjoiNTIwNDQ5MWQxMWRlOTdjZDVjYTA4OWRiOTY2OGZhYjg1MTg1M2Y2YmJlYzM3OTRhYTE4OTFjZDI2ODhlODlmMyIsInRhZyI6IiJ9&standardNumber=IS%20458:2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),IS 6925:1973,Methods of Test for Determination of Water Soluble Chlorides in Concrete Admixtures,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkxtL1BYdmFCczQvaXJTb1BzWHJRUGc9PSIsInZhbHVlIjoiK1hRMXBuWkQ3MmVCMG1ORURuVkx2QT09IiwibWFjIjoiY2JlNGVjOWFjZTMzMTJhYzlmMGY4MzEwZWIyZTBlZTIxYTk4NjBjMzI1MWYwMTQ5ZmM1OGZlN2Y1OWQwMDgxZiIsInRhZyI6IiJ9&standardNumber=IS%206925:1973,REFERRED_IN_STANDARD,2026.0,outgoing
IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),IS 10250:1982,Specification for severities for environmental tests for automotive electrical equipment,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IisrYk8xRy8vSHk5UG9rVWIwZ2dWV3c9PSIsInZhbHVlIjoienI0RVRsaHB2Z3dQN2V1ZjUwQlFzUT09IiwibWFjIjoiOTgwNGJlZjcxMjFhOTVlNjg1NjQ2ODQwZDJiOTJhMjIxODhiYWZhYjAyMTcwYjI5ZmQ2ZjI2Yzg1OTY1YzdjZiIsInRhZyI6IiJ9&standardNumber=IS%2010250:1982,REFERRED_IN_STANDARD,2025.0,outgoing
IS 16993:2018,Microfine Ordinary Portland Cement - Specification,IS 9103:1999,Concrete Admixtures -Specification (First Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjJJQ1ZGT0pncDB4eDJaZ2laWVI1d1E9PSIsInZhbHVlIjoidFowNm1heUJVcjVXS0NreFpOTC9FUT09IiwibWFjIjoiMmJlOTViODMzNzYxNDY2OWQxMmE0MjcwYzJjYTBkNzVhMjlkNzBlYzg3MjE0MzIzNWY1MGMwOTdmNzY5MmFhMyIsInRhZyI6IiJ9&standardNumber=IS%209103:1999,REFERRED_BY_STANDARD,2023.0,outgoing
IS 16993:2018,Microfine Ordinary Portland Cement - Specification,IS 4845:2026,Definitions and terminology relating to hydraulic cement First Revision of IS 4845,Unknown,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InhrOWpSdUZuQUR3WU9pZGJIejYxQlE9PSIsInZhbHVlIjoiUnRCd21reGpybXViSVpXTGcxRVFCUT09IiwibWFjIjoiYjM1NzAzNDllOTllYmNjNDBjZGFkYjc3ZWIxZjRmNzZmYjM3NmEyYWI3OWJjZWZiYjdlN2VkMzJhNjc0YWZhOCIsInRhZyI6IiJ9&standardNumber=IS%204845:2026,REFERRED_BY_STANDARD,2023.0,incoming
IS 8042:2015,White Portland Cement - Specification (Third Revision),IS 12423:1988,Method for Colorimetric analysis of Hydraulic Cement,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImtZSUxTWkJKTkxxcHhhS1NwRmVFZ1E9PSIsInZhbHVlIjoiRU4vdVc1cEliRDVxTGxFRU05bE8rUT09IiwibWFjIjoiZjRhMzE2NTAwNzg4OGVjYWI0MjQ2MWI5ZmQ5ZGM3ZDAxMjZiZTlhNTEyMzcyMDAyN2MzNDNjYTY2MGJlODY0YiIsInRhZyI6IiJ9&standardNumber=IS%2012423:1988,REFERRED_BY_STANDARD,2026.0,outgoing
IS 8042:2015,White Portland Cement - Specification (Third Revision),IS 17545:2021,White cement based polymeric putty,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjVEUnphbzd5dVA4cEZEWnBCNzdYSnc9PSIsInZhbHVlIjoidnFkSFI0b1NZNjYxSmNDRENhT0tmdz09IiwibWFjIjoiMWE3MzQ0OGI2N2M4MzU5NDljODlhYjUxZGM4NjQ1MmE4MmQ4Yjk3ODBlYmE3YzhkYmQ4MGNjNmIyNWE0OWZjMSIsInRhZyI6IiJ9&standardNumber=IS%2017545:2021,REFERRED_IN_STANDARD,2026.0,outgoing
IS 8042:2015,White Portland Cement - Specification (Third Revision),IS 11761:2024,MULTI-WALL PAPER SACKS FOR CEMENT- SPECIFICATION ( Second Revision ),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InFSbTkwQW5naUFmcVlFTG53S0tjSHc9PSIsInZhbHVlIjoiK1dvS01yRnNuT2JwRTJucUdMSHIrZz09IiwibWFjIjoiNWZlMzU1YzJmZTdiNTliYmNiNjM0YzhhMDhmOTYzZWExZTI1YTgzMTRmNjI5N2JjZDgzYzY5ZWJiN2Y1YjczMyIsInRhZyI6IiJ9&standardNumber=IS%2011761:2024,REFERRED_IN_STANDARD,2025.0,incoming
